"participantid_in_session","participantcode","playerid_in_group","attack","endowment","playertullock","production","opponent_production","playertotal_production","arming","opponent_arming","playertotal_arming","playerprize","playerprob","playerprob_percent","opponent_attack","win_conflict","playerearnings","playerpayoff4","playerpayround4","belief_attack","belief_arming","playerproduction_est","playertype","groupid_in_subsession","grouptullock","period","sessioncode","treatment","playerpayoff1","playerpayoff2","playerpayoff3","comp1","comp2","likestowin","compulsive","playerr1","playerr2","playerr3","playerr4","playerr5","playerr6","playerr7","playerr8","playerr9","playerr10","playeractive","playerpassive","playerl1","playerl2","playerl3","playerl4","playerl5","playerl6","playerhead","playergamble","playersend","playerback","playerreturn1","playerreturn2","playerreturn3","playerreturn4","playerreturn5","playerreturn6","playerreturn7","playerreturn8","playerreturn9","playerspieler1","playerspieler2","playerrole1","playerpayround1","playerpayround2","playerfinal_payoff","playerfinal_payoff_help","auszahlung","age","male","playerdem_study","bachelor","playerdem_understand","playerattack_profit","playerattack_spite","playerattack_super","playerattack_fight1","playerattack_fight2","playerattack_encourage","playerattack_chance","playerattack_mistake","playerattack_understand","playernoattack_risk","playernoattack_efficient","playernoattack_ownprofit","playernoattack_otherprofit","playernoattack_discourage","playernoattack_mistake","playernoattack_understand","playerarming_attack","playerarming_security","playerarming_noattack","playerarming_inefficient","playerarming_unequala1","playerarming_unequala2","playerarming_unequalb1","playerarming_unequalb2","playerarming_understand","id","session","indep_obs","conflict","rel_arming","arm_def","arm_att","unarmed_peace","Strategies3","choose_UP","choose_UC","choose_AP","choose_AC","riskaverse","econstudent"
12,"0pc5zgl4",2,1,120,1,0,25,25,120,55,175,11,0.685714304447174,69,1,1,11,NA,NA,0,20,60,NA,5,1,1,"a9g7r98j",0,80,-10,21,3,3,3,3,0,0,1,1,1,0,0,0,1,1,40,40,1,1,1,0,0,0,1,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,2,1,113,11.3000001907349,11.5,43,1,7,0,2,0,2,2,2,2,3,1,3,3,3,3,3,3,3,3,3,1,2,3,3,NA,NA,0,3,3,8,8,8,1,1,NA,120,0,4,0,0,0,1,0.545454545454545,0
12,"0pc5zgl4",2,1,120,1,0,30,30,120,50,170,14,0.705882370471954,71,0,1,14,NA,NA,NA,NA,NA,NA,4,1,2,"a9g7r98j",0,80,-10,21,3,3,3,3,0,0,1,1,1,0,0,0,1,1,40,40,1,1,1,0,0,0,1,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,2,1,113,11.3000001907349,11.5,43,1,7,0,2,0,2,2,2,2,3,1,3,3,3,3,3,3,3,3,3,1,2,3,3,NA,NA,0,3,3,8,8,8,1,1,NA,120,0,4,0,0,0,1,0.545454545454545,0
12,"0pc5zgl4",2,1,120,1,0,50,50,120,30,150,22,0.800000011920929,80,0,1,22,NA,NA,NA,NA,NA,NA,7,1,5,"a9g7r98j",0,80,-10,21,3,3,3,3,0,0,1,1,1,0,0,0,1,1,40,40,1,1,1,0,0,0,1,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,2,1,113,11.3000001907349,11.5,43,1,7,0,2,0,2,2,2,2,3,1,3,3,3,3,3,3,3,3,3,1,2,3,3,NA,NA,0,3,3,8,8,8,1,1,NA,120,0,4,0,0,0,1,0.545454545454545,0
12,"0pc5zgl4",2,1,120,1,0,0,0,120,80,200,0,0.600000023841858,60,1,0,0,22,NA,NA,NA,NA,2,4,1,7,"a9g7r98j",0,80,-10,21,3,3,3,3,0,0,1,1,1,0,0,0,1,1,40,40,1,1,1,0,0,0,1,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,2,1,113,11.3000001907349,11.5,43,1,7,0,2,0,2,2,2,2,3,1,3,3,3,3,3,3,3,3,3,1,2,3,3,NA,NA,0,3,3,8,8,8,1,1,NA,120,0,4,0,0,0,1,0.545454545454545,0
13,"2kf8gs6i",2,1,120,1,15,15,30,105,65,170,14,0.617647051811218,62,1,1,14,47,NA,NA,NA,NA,2,7,1,7,"e4y6khl6",0,80,-10,22,8,7,7,6,0,0,1,1,1,0,0,0,1,1,40,40,1,1,1,0,0,0,1,1,6,24,0,0,1,4,8,10,15,20,24,10,10,0,2,1,139,13.8999996185303,14,21,0,4,1,3,2,0,3,0,1,0,0,3,2,4,4,4,4,4,4,3,0,1,3,3,NA,NA,0,2,3,15,15,15,1,0.875,NA,105,0,4,0,0,0,1,0.636363636363636,0
13,"2kf8gs6i",2,1,120,1,10,60,70,110,20,130,32,0.846153855323792,85,0,1,32,NA,NA,NA,NA,NA,NA,1,1,3,"e4y6khl6",0,80,-10,22,8,7,7,6,0,0,1,1,1,0,0,0,1,1,40,40,1,1,1,0,0,0,1,1,6,24,0,0,1,4,8,10,15,20,24,10,10,0,2,1,139,13.8999996185303,14,21,0,4,1,3,2,0,3,0,1,0,0,3,2,4,4,4,4,4,4,3,0,1,3,3,NA,NA,0,2,3,15,15,15,1,0.916666666666667,NA,110,0,4,0,0,0,1,0.636363636363636,0
13,"2kf8gs6i",2,1,120,1,20,60,80,100,20,120,36,0.833333313465118,83,0,1,36,NA,NA,NA,NA,NA,NA,4,1,4,"e4y6khl6",0,80,-10,22,8,7,7,6,0,0,1,1,1,0,0,0,1,1,40,40,1,1,1,0,0,0,1,1,6,24,0,0,1,4,8,10,15,20,24,10,10,0,2,1,139,13.8999996185303,14,21,0,4,1,3,2,0,3,0,1,0,0,3,2,4,4,4,4,4,4,3,0,1,3,3,NA,NA,0,2,3,15,15,15,1,0.833333333333333,NA,100,0,4,0,0,0,1,0.636363636363636,0
13,"2kf8gs6i",2,1,120,1,30,20,50,90,60,150,22,0.600000023841858,60,1,0,0,NA,NA,NA,NA,NA,NA,6,1,2,"e4y6khl6",0,80,-10,22,8,7,7,6,0,0,1,1,1,0,0,0,1,1,40,40,1,1,1,0,0,0,1,1,6,24,0,0,1,4,8,10,15,20,24,10,10,0,2,1,139,13.8999996185303,14,21,0,4,1,3,2,0,3,0,1,0,0,3,2,4,4,4,4,4,4,3,0,1,3,3,NA,NA,0,2,3,15,15,15,1,0.75,NA,90,0,4,0,0,0,1,0.636363636363636,0
13,"2kf8gs6i",2,1,120,1,30,5,35,90,75,165,16,0.545454561710358,55,1,0,0,NA,NA,NA,NA,NA,NA,1,1,6,"e4y6khl6",0,80,-10,22,8,7,7,6,0,0,1,1,1,0,0,0,1,1,40,40,1,1,1,0,0,0,1,1,6,24,0,0,1,4,8,10,15,20,24,10,10,0,2,1,139,13.8999996185303,14,21,0,4,1,3,2,0,3,0,1,0,0,3,2,4,4,4,4,4,4,3,0,1,3,3,NA,NA,0,2,3,15,15,15,1,0.75,NA,90,0,4,0,0,0,1,0.636363636363636,0
13,"2kf8gs6i",2,1,120,1,70,0,70,50,80,130,32,0.384615391492844,38,1,0,0,NA,NA,0,20,60,NA,3,1,1,"e4y6khl6",0,80,-10,22,8,7,7,6,0,0,1,1,1,0,0,0,1,1,40,40,1,1,1,0,0,0,1,1,6,24,0,0,1,4,8,10,15,20,24,10,10,0,2,1,139,13.8999996185303,14,21,0,4,1,3,2,0,3,0,1,0,0,3,2,4,4,4,4,4,4,3,0,1,3,3,NA,NA,0,2,3,15,15,15,1,0.416666666666667,NA,50,0,4,0,0,0,1,0.636363636363636,0
13,"2kf8gs6i",2,1,120,1,25,80,105,95,0,95,47,1,100,0,1,47,NA,NA,NA,NA,NA,NA,2,1,5,"e4y6khl6",0,80,-10,22,8,7,7,6,0,0,1,1,1,0,0,0,1,1,40,40,1,1,1,0,0,0,1,1,6,24,0,0,1,4,8,10,15,20,24,10,10,0,2,1,139,13.8999996185303,14,21,0,4,1,3,2,0,3,0,1,0,0,3,2,4,4,4,4,4,4,3,0,1,3,3,NA,NA,0,2,3,15,15,15,1,0.791666666666667,NA,95,0,4,0,0,0,1,0.636363636363636,0
12,"2qlfofh8",2,0,120,1,115,10,125,5,70,75,56,0.0666666701436043,7,1,0,0,NA,NA,NA,NA,NA,NA,7,1,5,"e4y6khl6",0,80,30,30,2,5,6,4,0,0,1,1,1,0,0,0,0,1,40,40,1,1,1,0,0,0,0,1,10,NA,0,0,0,3,8,10,14,17,20,10,10,1,2,1,140,14,14,20,0,13,0,3,3,3,1,1,1,2,1,2,3,2,1,0,0,2,3,3,2,1,2,0,NA,NA,2,1,3,22,15,15,1,0.0416666666666667,5,NA,0,2,0,0,1,0,0.636363636363636,0
12,"2qlfofh8",2,1,120,1,40,40,80,80,40,120,36,0.666666686534882,67,0,1,36,0,NA,NA,NA,NA,2,4,1,7,"e4y6khl6",0,80,30,30,2,5,6,4,0,0,1,1,1,0,0,0,0,1,40,40,1,1,1,0,0,0,0,1,10,NA,0,0,0,3,8,10,14,17,20,10,10,1,2,1,140,14,14,20,0,13,0,3,3,3,1,1,1,2,1,2,3,2,1,0,0,2,3,3,2,1,2,0,NA,NA,2,1,3,22,15,15,1,0.666666666666667,NA,80,0,4,0,0,0,1,0.636363636363636,0
12,"2qlfofh8",2,0,120,0,80,50,130,40,30,70,58,0.571428596973419,57,0,NA,80,NA,NA,NA,NA,NA,NA,4,0,2,"e4y6khl6",0,80,30,30,2,5,6,4,0,0,1,1,1,0,0,0,0,1,40,40,1,1,1,0,0,0,0,1,10,NA,0,0,0,3,8,10,14,17,20,10,10,1,2,1,140,14,14,20,0,13,0,3,3,3,1,1,1,2,1,2,3,2,1,0,0,2,3,3,2,1,2,0,NA,NA,2,1,3,22,15,15,0,0.333333333333333,40,NA,0,2,0,0,1,0,0.636363636363636,0
12,"2qlfofh8",2,0,120,0,110,80,190,10,0,10,86,1,100,0,NA,110,NA,NA,NA,NA,NA,NA,1,0,4,"e4y6khl6",0,80,30,30,2,5,6,4,0,0,1,1,1,0,0,0,0,1,40,40,1,1,1,0,0,0,0,1,10,NA,0,0,0,3,8,10,14,17,20,10,10,1,2,1,140,14,14,20,0,13,0,3,3,3,1,1,1,2,1,2,3,2,1,0,0,2,3,3,2,1,2,0,NA,NA,2,1,3,22,15,15,0,0.0833333333333333,10,NA,0,2,0,0,1,0,0.636363636363636,0
12,"2qlfofh8",2,1,120,1,70,15,85,50,65,115,38,0.434782594442368,43,1,0,0,NA,NA,NA,NA,NA,NA,7,1,6,"e4y6khl6",0,80,30,30,2,5,6,4,0,0,1,1,1,0,0,0,0,1,40,40,1,1,1,0,0,0,0,1,10,NA,0,0,0,3,8,10,14,17,20,10,10,1,2,1,140,14,14,20,0,13,0,3,3,3,1,1,1,2,1,2,3,2,1,0,0,2,3,3,2,1,2,0,NA,NA,2,1,3,22,15,15,1,0.416666666666667,NA,50,0,4,0,0,0,1,0.636363636363636,0
12,"2qlfofh8",2,1,120,1,70,20,90,50,60,110,40,0.454545468091965,45,1,0,0,NA,NA,0,30,50,NA,5,1,1,"e4y6khl6",0,80,30,30,2,5,6,4,0,0,1,1,1,0,0,0,0,1,40,40,1,1,1,0,0,0,0,1,10,NA,0,0,0,3,8,10,14,17,20,10,10,1,2,1,140,14,14,20,0,13,0,3,3,3,1,1,1,2,1,2,3,2,1,0,0,2,3,3,2,1,2,0,NA,NA,2,1,3,22,15,15,1,0.416666666666667,NA,50,0,4,0,0,0,1,0.636363636363636,0
12,"2qlfofh8",2,1,120,1,50,40,90,70,40,110,40,0.636363625526428,64,0,1,40,NA,NA,NA,NA,NA,NA,3,1,3,"e4y6khl6",0,80,30,30,2,5,6,4,0,0,1,1,1,0,0,0,0,1,40,40,1,1,1,0,0,0,0,1,10,NA,0,0,0,3,8,10,14,17,20,10,10,1,2,1,140,14,14,20,0,13,0,3,3,3,1,1,1,2,1,2,3,2,1,0,0,2,3,3,2,1,2,0,NA,NA,2,1,3,22,15,15,1,0.583333333333333,NA,70,0,4,0,0,0,1,0.636363636363636,0
3,"2zr815gf",1,0,80,1,80,20,100,0,100,100,45,0,0,1,0,0,NA,NA,NA,NA,NA,NA,3,1,6,"x7h85wfe",0,80,0,28,6,5,8,3,0,0,1,1,1,0,0,0,1,1,40,40,0,0,0,0,0,1,0,0,6,6,0,2,4,6,8,10,12,14,16,6,6,0,6,3,135,13.5,13.5,19,0,3,1,2,3,3,3,3,3,3,3,3,3,0,0,0,0,0,3,3,3,3,3,3,3,3,NA,NA,3,29,29,29,1,0,0,NA,0,1,1,0,0,0,0.636363636363636,0
3,"2zr815gf",1,0,80,1,79,70,149,1,50,51,67,0.0196078438311815,2,1,0,0,NA,NA,1,120,0,NA,6,1,1,"x7h85wfe",0,80,0,28,6,5,8,3,0,0,1,1,1,0,0,0,1,1,40,40,0,0,0,0,0,1,0,0,6,6,0,2,4,6,8,10,12,14,16,6,6,0,6,3,135,13.5,13.5,19,0,3,1,2,3,3,3,3,3,3,3,3,3,0,0,0,0,0,3,3,3,3,3,3,3,3,NA,NA,3,29,29,29,1,0.0125,1,NA,0,2,0,0,1,0,0.636363636363636,0
3,"2zr815gf",1,1,80,1,0,60,60,80,60,140,27,0.571428596973419,57,0,1,27,27,NA,NA,NA,NA,1,3,1,7,"x7h85wfe",0,80,0,28,6,5,8,3,0,0,1,1,1,0,0,0,1,1,40,40,0,0,0,0,0,1,0,0,6,6,0,2,4,6,8,10,12,14,16,6,6,0,6,3,135,13.5,13.5,19,0,3,1,2,3,3,3,3,3,3,3,3,3,0,0,0,0,0,3,3,3,3,3,3,3,3,NA,NA,3,29,29,29,1,1,NA,80,0,4,0,0,0,1,0.636363636363636,0
3,"2zr815gf",1,1,80,1,0,65,65,80,55,135,29,0.592592597007751,59,1,1,29,NA,NA,NA,NA,NA,NA,3,1,3,"x7h85wfe",0,80,0,28,6,5,8,3,0,0,1,1,1,0,0,0,1,1,40,40,0,0,0,0,0,1,0,0,6,6,0,2,4,6,8,10,12,14,16,6,6,0,6,3,135,13.5,13.5,19,0,3,1,2,3,3,3,3,3,3,3,3,3,0,0,0,0,0,3,3,3,3,3,3,3,3,NA,NA,3,29,29,29,1,1,NA,80,0,4,0,0,0,1,0.636363636363636,0
3,"2zr815gf",1,0,80,1,80,50,130,0,70,70,58,0,0,1,0,0,NA,NA,NA,NA,NA,NA,2,1,2,"x7h85wfe",0,80,0,28,6,5,8,3,0,0,1,1,1,0,0,0,1,1,40,40,0,0,0,0,0,1,0,0,6,6,0,2,4,6,8,10,12,14,16,6,6,0,6,3,135,13.5,13.5,19,0,3,1,2,3,3,3,3,3,3,3,3,3,0,0,0,0,0,3,3,3,3,3,3,3,3,NA,NA,3,29,29,29,1,0,0,NA,0,1,1,0,0,0,0.636363636363636,0
3,"2zr815gf",1,1,80,1,0,80,80,80,40,120,36,0.666666686534882,67,0,0,0,NA,NA,NA,NA,NA,NA,3,1,5,"x7h85wfe",0,80,0,28,6,5,8,3,0,0,1,1,1,0,0,0,1,1,40,40,0,0,0,0,0,1,0,0,6,6,0,2,4,6,8,10,12,14,16,6,6,0,6,3,135,13.5,13.5,19,0,3,1,2,3,3,3,3,3,3,3,3,3,0,0,0,0,0,3,3,3,3,3,3,3,3,NA,NA,3,29,29,29,1,1,NA,80,0,4,0,0,0,1,0.636363636363636,0
3,"2zr815gf",1,1,80,1,0,50,50,80,70,150,22,0.533333361148834,53,1,1,22,NA,NA,NA,NA,NA,NA,4,1,4,"x7h85wfe",0,80,0,28,6,5,8,3,0,0,1,1,1,0,0,0,1,1,40,40,0,0,0,0,0,1,0,0,6,6,0,2,4,6,8,10,12,14,16,6,6,0,6,3,135,13.5,13.5,19,0,3,1,2,3,3,3,3,3,3,3,3,3,0,0,0,0,0,3,3,3,3,3,3,3,3,NA,NA,3,29,29,29,1,1,NA,80,0,4,0,0,0,1,0.636363636363636,0
3,"4e4o0382",1,0,80,0,45,100,145,35,20,55,65,0.636363625526428,64,0,NA,45,45,NA,NA,NA,NA,1,3,0,7,"zlc5ls51",0,100,-10,36,2,8,10,7,0,0,1,1,1,0,0,0,0,0,40,60,1,1,0,0,0,0,1,1,4,10,0,2,4,6,8,10,12,14,16,10,10,0,2,1,171,17.1000003814697,17.5,20,0,3,1,3,1,2,3,3,1,3,3,3,3,0,0,0,1,0,3,3,2,0,3,3,4,4,NA,NA,3,36,1,1,0,0.4375,35,NA,0,2,0,0,1,0,0.545454545454545,0
3,"4e4o0382",1,1,80,1,20,90,110,60,30,90,50,0.666666686534882,67,1,1,50,NA,NA,1,60,60,NA,6,1,1,"zlc5ls51",0,100,-10,36,2,8,10,7,0,0,1,1,1,0,0,0,0,0,40,60,1,1,0,0,0,0,1,1,4,10,0,2,4,6,8,10,12,14,16,10,10,0,2,1,171,17.1000003814697,17.5,20,0,3,1,3,1,2,3,3,1,3,3,3,3,0,0,0,1,0,3,3,2,0,3,3,4,4,NA,NA,3,36,1,1,1,0.75,NA,60,0,4,0,0,0,1,0.545454545454545,0
3,"4e4o0382",1,1,80,1,50,50,100,30,70,100,45,0.300000011920929,30,0,1,45,NA,NA,NA,NA,NA,NA,3,1,5,"zlc5ls51",0,100,-10,36,2,8,10,7,0,0,1,1,1,0,0,0,0,0,40,60,1,1,0,0,0,0,1,1,4,10,0,2,4,6,8,10,12,14,16,10,10,0,2,1,171,17.1000003814697,17.5,20,0,3,1,3,1,2,3,3,1,3,3,3,3,0,0,0,1,0,3,3,2,0,3,3,4,4,NA,NA,3,36,1,1,1,0.375,NA,30,0,4,0,0,0,1,0.545454545454545,0
3,"4e4o0382",1,0,80,0,37,90,127,43,30,73,57,0.589041113853455,59,0,NA,37,NA,NA,NA,NA,NA,NA,4,0,4,"zlc5ls51",0,100,-10,36,2,8,10,7,0,0,1,1,1,0,0,0,0,0,40,60,1,1,0,0,0,0,1,1,4,10,0,2,4,6,8,10,12,14,16,10,10,0,2,1,171,17.1000003814697,17.5,20,0,3,1,3,1,2,3,3,1,3,3,3,3,0,0,0,1,0,3,3,2,0,3,3,4,4,NA,NA,3,36,1,1,0,0.5375,43,NA,0,2,0,0,1,0,0.545454545454545,0
3,"4e4o0382",1,0,80,0,40,100,140,40,20,60,63,0.666666686534882,67,0,NA,40,NA,NA,NA,NA,NA,NA,3,0,6,"zlc5ls51",0,100,-10,36,2,8,10,7,0,0,1,1,1,0,0,0,0,0,40,60,1,1,0,0,0,0,1,1,4,10,0,2,4,6,8,10,12,14,16,10,10,0,2,1,171,17.1000003814697,17.5,20,0,3,1,3,1,2,3,3,1,3,3,3,3,0,0,0,1,0,3,3,2,0,3,3,4,4,NA,NA,3,36,1,1,0,0.5,40,NA,0,2,0,0,1,0,0.545454545454545,0
3,"4e4o0382",1,0,80,1,30,80,110,50,40,90,50,0.555555582046509,56,1,1,50,NA,NA,NA,NA,NA,NA,3,1,3,"zlc5ls51",0,100,-10,36,2,8,10,7,0,0,1,1,1,0,0,0,0,0,40,60,1,1,0,0,0,0,1,1,4,10,0,2,4,6,8,10,12,14,16,10,10,0,2,1,171,17.1000003814697,17.5,20,0,3,1,3,1,2,3,3,1,3,3,3,3,0,0,0,1,0,3,3,2,0,3,3,4,4,NA,NA,3,36,1,1,1,0.625,50,NA,0,2,0,0,1,0,0.545454545454545,0
3,"4e4o0382",1,0,80,1,35,70,105,45,50,95,47,0.473684221506119,47,1,1,47,NA,NA,NA,NA,NA,NA,2,1,2,"zlc5ls51",0,100,-10,36,2,8,10,7,0,0,1,1,1,0,0,0,0,0,40,60,1,1,0,0,0,0,1,1,4,10,0,2,4,6,8,10,12,14,16,10,10,0,2,1,171,17.1000003814697,17.5,20,0,3,1,3,1,2,3,3,1,3,3,3,3,0,0,0,1,0,3,3,2,0,3,3,4,4,NA,NA,3,36,1,1,1,0.5625,45,NA,0,2,0,0,1,0,0.545454545454545,0
7,"4goskum7",1,1,80,1,25,110,135,55,10,65,61,0.846153855323792,85,0,1,61,NA,NA,1,100,20,NA,7,1,1,"e4y6khl6",0,80,-10,8,7,7,9,6,0,0,1,1,1,0,0,0,0,0,40,40,1,1,0,0,0,0,1,1,8,NA,0,2,4,12,16,17,24,27,32,8,0,1,2,1,78,7.80000019073486,8,19,1,3,1,3,0,0,1,0,0,0,1,3,3,3,2,3,1,3,3,3,0,0,3,3,0,3,NA,NA,3,43,15,15,1,0.6875,NA,55,0,4,0,0,0,1,0.727272727272727,0
